Model,Metric,Mean,Std,Min,Max
Decision Tree (J48),accuracy,0.8430612658546653,0.00529420983317644,0.8361252731245448,0.8516630250060694
Decision Tree (J48),precision,0.3354568770119115,0.019114825888787837,0.30642201834862387,0.36804308797127466
Decision Tree (J48),recall,0.4006465517241379,0.025215517241379302,0.3599137931034483,0.4418103448275862
Decision Tree (J48),f1,0.3650840798508296,0.021141880353627625,0.33102081268582756,0.4015670910871694
Decision Tree (J48),roc_auc,0.7093445366952097,0.011338618952468953,0.6962489386291806,0.7281239681117033
Decision Tree (J48),alift,0.810659125042745,0.054778193618057,0.7436382556063734,0.911118020261073
Decision Tree (J48),avg_precision,0.27584376489399276,0.017275501760524833,0.25600774654311786,0.30881482255166914
Random Forest,accuracy,0.8800622118492573,0.0036348982353009898,0.8749696528283564,0.8851663025006069
Random Forest,precision,0.46687271001308267,0.016976358970911064,0.44269662921348313,0.4904051172707889
Random Forest,recall,0.46099137931034484,0.02872853719881729,0.4245689655172414,0.5107758620689655
Random Forest,f1,0.46379918047740204,0.022496069160956294,0.43344334433443343,0.49842271293375395
Random Forest,roc_auc,0.7783008095842657,0.009097837424796279,0.762453712439266,0.7881292702376235
Random Forest,alift,1.0999389280559855,0.052436221151773384,1.0257959046325333,1.181184365600712
Random Forest,avg_precision,0.4173182686680459,0.02951616328311387,0.37610487623631556,0.4633409377906423
Naive Bayes,accuracy,0.7464314025398593,0.00692405445453756,0.7363437727603788,0.7634774162214667
Naive Bayes,precision,0.2616145943597742,0.007341904982587729,0.2504012841091493,0.2778745644599303
Naive Bayes,recall,0.6857758620689656,0.016743900516857778,0.6594827586206896,0.7133620689655172
Naive Bayes,f1,0.3786928472524035,0.009229908527154556,0.3649122807017544,0.3957816377171216
Naive Bayes,roc_auc,0.764828385583464,0.00944968992846123,0.7421432025095523,0.7785449785367234
Naive Bayes,alift,1.0053844633117759,0.0466843005009314,0.9114481332792392,1.0793537351970002
Naive Bayes,avg_precision,0.3706462186279925,0.023753749280829753,0.3259227114793847,0.4064510041822761
OneR (Simple Rules),accuracy,0.5042243380838227,0.004525404260224784,0.49708596406022343,0.511531925224569
OneR (Simple Rules),precision,0.11620740909047875,0.0045450861125287245,0.10900243309002433,0.12354085603112841
OneR (Simple Rules),recall,0.5148706896551724,0.02018166785967149,0.4827586206896552,0.5474137931034483
OneR (Simple Rules),f1,0.18961769913734977,0.007419280697135882,0.1778483525208416,0.2015873015873016
OneR (Simple Rules),roc_auc,0.5088717520555404,0.011359631310564923,0.49083196496989606,0.5271952686447474
OneR (Simple Rules),alift,0.2502463411125567,0.030090585926838147,0.19027024013985083,0.2934259492981935
OneR (Simple Rules),avg_precision,0.11457545532701525,0.0024223001387638013,0.11090258304588838,0.11861121696449975
Logistic Regression,accuracy,0.8077598499048639,0.005864059772085557,0.7992231124059238,0.8164157357940748
Logistic Regression,precision,0.3220747623131229,0.010036298974075927,0.30793650793650795,0.3369447453954496
Logistic Regression,recall,0.6385775862068965,0.01604264947754002,0.6142241379310345,0.6702586206896551
Logistic Regression,f1,0.4281317260276375,0.011548022305831022,0.41305890702625975,0.44844989185291995
Logistic Regression,roc_auc,0.7866510268822384,0.010306558882439837,0.771317338081985,0.8062028279635832
Logistic Regression,alift,1.138261849211953,0.04869367432833716,1.05845750807267,1.2293015699655079
Logistic Regression,avg_precision,0.4384965460533136,0.025915879913614333,0.4004231062147366,0.48023259504253163
XGBoost,accuracy,0.8644752029266287,0.005014930531063606,0.8555474629764506,0.8720252549781448
XGBoost,precision,0.41739894184786897,0.018343829060404493,0.3828264758497317,0.4406779661016949
XGBoost,recall,0.513146551724138,0.02815697911089904,0.46120689655172414,0.5517241379310345
XGBoost,f1,0.46023509455906686,0.021391581345070257,0.41837732160312807,0.4862298195631529
XGBoost,roc_auc,0.7675342022195876,0.013211764132227402,0.7425415113920468,0.7875398014057267
XGBoost,alift,1.0824880012084885,0.06520483190389464,0.9876742795894933,1.1815314016030796
XGBoost,avg_precision,0.42147420693128845,0.03246131899954835,0.374003003863113,0.47492339706311226
