Model,Strategy,Metric,Mean,Std,Min,Max
Decision Tree,No Balancing,accuracy,0.8896281768433306,0.003161464696884017,0.8849235251274581,0.894851869839728
Decision Tree,No Balancing,precision,0.5096119606060294,0.013442549897801422,0.4895397489539749,0.5324947589098532
Decision Tree,No Balancing,recall,0.53125,0.02206816573173622,0.5,0.5668103448275862
Decision Tree,No Balancing,f1,0.5201261908509721,0.0168239600668672,0.4968152866242038,0.5445026178010471
Decision Tree,No Balancing,roc_auc,0.7331882685578909,0.011163262640884786,0.7183994528043776,0.7501630383508657
Random Forest,No Balancing,accuracy,0.9155823573600396,0.0029773445104136643,0.9113862588006798,0.9208545763534839
Random Forest,No Balancing,precision,0.6588356319659843,0.016585276482917848,0.6327077747989276,0.6864864864864865
Random Forest,No Balancing,recall,0.5200431034482759,0.02144477775276854,0.4892241379310345,0.5581896551724138
Random Forest,No Balancing,f1,0.5810804506850051,0.017370084169198833,0.5584255842558425,0.6091127098321343
Random Forest,No Balancing,roc_auc,0.9442414468103143,0.0034334249672485257,0.9389411057125336,0.9487608495683759
Naive Bayes,No Balancing,accuracy,0.8465815967204893,0.00355773594915582,0.8402524884680748,0.852391357125516
Naive Bayes,No Balancing,precision,0.38395467361483904,0.009731002088903061,0.36338028169014086,0.3997214484679666
Naive Bayes,No Balancing,recall,0.5987068965517242,0.02439822706566363,0.5560344827586207,0.6400862068965517
Naive Bayes,No Balancing,f1,0.4677568515746984,0.013322243138396628,0.4395229982964225,0.4888888888888889
Naive Bayes,No Balancing,roc_auc,0.8514405716302595,0.010102886039563167,0.8316477192320392,0.8661578965988963
Logistic Regression,No Balancing,accuracy,0.910265232216734,0.0042297662802721365,0.9019179412478757,0.9157357940747936
Logistic Regression,No Balancing,precision,0.6667154779271284,0.03159714514000851,0.6056338028169014,0.7096774193548387
Logistic Regression,No Balancing,recall,0.4073275862068965,0.024344864218005063,0.3706896551724138,0.44396551724137934
Logistic Regression,No Balancing,f1,0.5054368555347195,0.02546890145841742,0.45989304812834225,0.5329744279946165
Logistic Regression,No Balancing,roc_auc,0.9296403430114498,0.005706603450127201,0.9163179866974857,0.9363619746214444
Decision Tree,SMOTE,accuracy,0.8869090407864808,0.00366370423431841,0.8820101966496723,0.8958232151529869
Decision Tree,SMOTE,precision,0.4986425373316793,0.014898179035580661,0.4785992217898833,0.5356415478615071
Decision Tree,SMOTE,recall,0.5698275862068967,0.023095566076928996,0.5301724137931034,0.603448275862069
Decision Tree,SMOTE,f1,0.5315761482876171,0.013941639377739361,0.5030674846625767,0.5507853403141362
Decision Tree,SMOTE,roc_auc,0.7484960749870652,0.010570255080190154,0.7284241001934052,0.7627700599084862
Random Forest,SMOTE,accuracy,0.9084201359718364,0.0031274504035148963,0.9045884923525127,0.9137931034482759
Random Forest,SMOTE,precision,0.583991838240176,0.013837958202354337,0.5678776290630975,0.6046065259117083
Random Forest,SMOTE,recall,0.6521551724137932,0.021706341917265812,0.6163793103448276,0.6810344827586207
Random Forest,SMOTE,f1,0.6159663807658202,0.013072644934039413,0.5975359342915811,0.6395939086294417
Random Forest,SMOTE,roc_auc,0.9420890717828394,0.0031036665152094634,0.9372765224774753,0.9461997028161706
Naive Bayes,SMOTE,accuracy,0.7767313039314488,0.007194569081678389,0.7681476086428745,0.7916464303059738
Naive Bayes,SMOTE,precision,0.3030131529881845,0.009644874591648336,0.29006968641114983,0.32025547445255476
Naive Bayes,SMOTE,recall,0.7543103448275862,0.01878835751526153,0.7176724137931034,0.790948275862069
Naive Bayes,SMOTE,f1,0.4322993979566192,0.012084665653805607,0.413151364764268,0.45
Naive Bayes,SMOTE,roc_auc,0.8456885622696572,0.010669208081577381,0.8247883154865796,0.8603011934525213
Logistic Regression,SMOTE,accuracy,0.8584297810369765,0.003548486098903381,0.8516630250060694,0.8640116561437591
Logistic Regression,SMOTE,precision,0.4356017843180414,0.007374573814606741,0.4208826695371367,0.44713656387665196
Logistic Regression,SMOTE,recall,0.8672413793103448,0.01803661720078248,0.8405172413793104,0.896551724137931
Logistic Regression,SMOTE,f1,0.5798665053430204,0.009049959055587005,0.5613783201722901,0.5918367346938775
Logistic Regression,SMOTE,roc_auc,0.932262091904114,0.004942076275735639,0.9207114722392565,0.9379811547714515
Decision Tree,Class Weights,accuracy,0.8902837170194484,0.003452146554174055,0.8832240835154164,0.8953375424963574
Decision Tree,Class Weights,precision,0.513545937245335,0.01573978857122153,0.4816414686825054,0.5362637362637362
Decision Tree,Class Weights,recall,0.5006465517241379,0.014166877956504129,0.48060344827586204,0.5258620689655172
Decision Tree,Class Weights,f1,0.5069474874983302,0.01375043669492468,0.4811218985976268,0.5310119695321001
Decision Tree,Class Weights,roc_auc,0.7201985694705575,0.007699677244645783,0.7074699867918298,0.7340585659551178
Random Forest,Class Weights,accuracy,0.9129601318048854,0.0034033425381534022,0.9062879339645545,0.9196406894877397
Random Forest,Class Weights,precision,0.6637011624266071,0.022629769782877635,0.6258064516129033,0.7084639498432602
Random Forest,Class Weights,recall,0.4612068965517241,0.018489319473730365,0.41810344827586204,0.4870689655172414
Random Forest,Class Weights,f1,0.5441106752129274,0.018933185549000222,0.5012919896640827,0.5772669220945083
Random Forest,Class Weights,roc_auc,0.9448368233055835,0.004516263231157779,0.9353575085404751,0.9514585004009624
Logistic Regression,Class Weights,accuracy,0.8547394824278823,0.004362578406544913,0.8463219227967953,0.8637688198154444
Logistic Regression,Class Weights,precision,0.4289698570458664,0.00883621290767771,0.41133263378803775,0.4472252448313384
Logistic Regression,Class Weights,recall,0.872844827586207,0.019728952571285884,0.8383620689655172,0.9008620689655172
Logistic Regression,Class Weights,f1,0.5751746306787244,0.01074590675471176,0.5532815808045166,0.5943600867678959
Logistic Regression,Class Weights,roc_auc,0.9324198752655946,0.004979853358574246,0.9207981508561727,0.9380607575829049
