Feature,Importance
duration,0.31770313020427915
euribor3m,0.10304560045095777
age,0.0933088564808548
nr.employed,0.06192022344148428
job,0.048895348113100486
education,0.04431076669516435
campaign,0.04309907890149156
day_of_week,0.04139257123637482
pdays,0.03272173030499862
poutcome,0.030669561129761803
cons.conf.idx,0.027913033174501126
marital,0.024284474874961316
cons.price.idx,0.023962532655405135
emp.var.rate,0.0202950857221824
housing,0.01968262345631242
month,0.018992212275575997
loan,0.015225992462976765
previous,0.013755515416881508
contact,0.010130438849265176
default,0.008691224153470472
