Feature,Importance
duration,0.34334477063252294
euribor3m,0.10117765092528241
nr.employed,0.08949372663780178
cons.conf.idx,0.06280472063355672
emp.var.rate,0.056443837397839466
cons.price.idx,0.05517443470328269
contact,0.04155135945970916
month,0.03239643098162139
age,0.029647893824639077
housing,0.02423613298442043
default,0.023644542960412167
job,0.020584981440337047
education,0.02030813480812554
pdays,0.019462197883232623
day_of_week,0.019106418503698548
campaign,0.015083293667763018
poutcome,0.014305764343718498
loan,0.011530761640995457
previous,0.010523960534789056
marital,0.009178986036252095
