Feature,Average_Score
euribor3m,0.8593783170234411
nr.employed,0.701390987946529
emp.var.rate,0.5340421100475267
pdays,0.528894774886099
cons.price.idx,0.4608840841062402
age,0.4152742487866979
cons.conf.idx,0.38126977431654413
poutcome,0.31414970805501946
previous,0.31027976678396324
campaign,0.2221522613582733
job,0.20620033301244156
education,0.19948292391474678
contact,0.1972932086733489
month,0.12833511933667377
default,0.11678862927151014
marital,0.10757611105590865
day_of_week,0.09845604492580178
housing,0.08879178525626036
loan,0.02241715017369313
