Feature,Importance,Selected_by_RFECV,Selected_by_Threshold,Selected_by_TopK,Consensus_Votes
euribor3m,0.19974983446858272,True,True,True,3
age,0.12232670952715971,True,True,True,3
nr.employed,0.0659972834963949,True,True,True,3
job,0.06300238553815306,True,True,True,3
education,0.058245371369586234,True,True,True,3
emp.var.rate,0.05260117480567819,True,True,True,3
day_of_week,0.05131280075353594,True,True,True,3
campaign,0.051089586740433936,True,True,True,3
contact,0.0412875506725148,True,True,True,3
cons.price.idx,0.039630631926169335,True,True,True,3
housing,0.03934067587490591,True,True,True,3
cons.conf.idx,0.03539674520466068,True,True,True,3
loan,0.031202767539431762,True,True,True,3
default,0.030049218699027026,True,True,True,3
marital,0.028560204648788324,True,True,True,3
poutcome,0.028366299359965565,True,True,True,3
pdays,0.024812659653344102,True,True,True,3
previous,0.019851515110859103,True,False,True,2
month,0.017176584610808735,True,False,True,2
